id,loan_id,bank_id,disbursement_method,status,approver_id,escrow_id,created_at,updated_at
0f47272e-9445-9acb-d6d1-059d4dc6ae51,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,BRI,agent_wallet,completed,APR-03,ESC-03,2025-05-28T15:14:47Z,2025-05-28T04:49:51Z
cd0aeb6b-4001-4922-3a4b-326527ffeaa9,538f78c3-842e-89e1-c2c4-8d61f7c337ce,BRI,agent_wallet,completed,APR-07,ESC-02,2025-12-12T03:33:12Z,2025-12-12T12:24:17Z
addeb1d4-5ac6-8274-8a73-3860c5956b4e,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,BRI,transfer,completed,APR-04,ESC-01,2026-02-04T12:53:08Z,2026-02-04T05:44:58Z
300d7916-e8f4-ba38-b994-1e310f8b172e,752989e3-06d3-1031-13f0-9aa881f76d7f,MANDIRI,agent_wallet,completed,APR-08,ESC-03,2025-06-13T03:09:09Z,2025-06-13T18:46:34Z
57c7d726-ff79-06b9-dc8e-40cc0e4fc644,a642312e-fb3e-6afc-0a56-a3098e6de950,BNI,transfer,completed,APR-02,ESC-01,2025-10-13T07:15:11Z,2025-10-13T16:06:08Z
3ea9294a-d1a0-2aac-5ed6-66534cb671e4,a4bc0f3a-633a-f6f1-27e7-8ecd4f244ba1,BCA,agent_wallet,completed,APR-04,ESC-02,2026-07-23T10:22:27Z,2026-07-23T20:18:34Z
c0b83e3d-c50d-6c45-bbd6-d53e6f783b24,ad6112f2-c057-3b39-4131-ce1cd2c560e4,BNI,agent_wallet,completed,APR-01,ESC-03,2026-05-08T07:51:43Z,2026-05-08T16:57:49Z
f793aa89-43c4-e014-c7b2-d07295d9fe9d,53678be0-2a49-b959-cd78-42b39cffa3f4,BNI,agent_wallet,completed,APR-05,ESC-02,2026-03-06T01:33:17Z,2026-03-06T13:09:32Z
df1ab0b7-b490-9847-40fc-343de159ff8c,6649f33d-a840-ffe4-f1a4-a7b318c568c8,MANDIRI,transfer,completed,APR-06,ESC-03,2025-06-25T16:58:25Z,2025-06-25T02:13:55Z
aedb96bf-c639-4954-7c10-9b23f2b31a03,76412469-5e2f-3eac-c660-7a01782b3f48,BNI,agent_wallet,completed,APR-06,ESC-01,2026-02-07T19:46:42Z,2026-02-07T09:42:01Z
bcf6844a-13fd-ca7a-510f-248ce862e95b,6bd26fbc-98ce-311f-9db6-6e73f6a154b8,BNI,agent_wallet,completed,APR-07,ESC-01,2026-04-01T17:32:54Z,2026-04-01T21:51:23Z
40336dcc-b187-e5af-a710-6125fbef3da2,a7599586-9102-a95b-5886-5b7f9001f4bc,BNI,transfer,completed,APR-02,ESC-02,2026-02-05T08:36:57Z,2026-02-05T05:58:36Z
40131be9-9547-e9f5-8c4e-d19bda544f5f,69722982-2d58-d92b-a669-c0df0de26a2b,BRI,agent_wallet,completed,APR-05,ESC-03,2025-10-24T13:35:32Z,2025-10-24T18:01:43Z
fe0d1416-78cd-93fd-e9ab-760c3576f988,70a205cb-8491-1829-e777-8bb81df59929,BCA,transfer,completed,APR-02,ESC-03,2026-01-01T06:05:19Z,2026-01-01T14:40:35Z
40bd1586-8fd8-ae80-7cd9-a463cd74c36f,481f62df-27f5-1bff-d04f-bdbffb2e4d32,BNI,agent_wallet,completed,APR-08,ESC-03,2026-06-04T14:38:17Z,2026-06-04T17:12:27Z
97fdf21f-1f55-fe42-a0d8-6b6eaeb1f66b,641ac3b1-25bd-e37d-2415-0dac9bb160eb,BNI,transfer,completed,APR-04,ESC-02,2025-05-01T18:19:02Z,2025-05-01T23:02:47Z
