id,loan_id,lender_account_id,nominal,fund_ratio,status,created_at,updated_at
31cac1c3-dd24-8a19-c8ee-0c563f05e92f,a6a2a83b-aaf0-b843-0dc7-1d19e0c4ca5c,e891659a-a241-1969-f96b-2440bf25700b,9000000.0,1.0,closed,2025-05-26T03:44:20Z,2025-05-26T05:49:09Z
254a8f6c-d978-9470-6315-85592f490501,538f78c3-842e-89e1-c2c4-8d61f7c337ce,258df6d0-c4e9-3633-1d88-1810c15dfbed,1000000.0,1.0,closed,2025-12-09T16:22:08Z,2025-12-09T02:22:10Z
768e2b52-2985-a6e9-d335-b958936b39a9,d9be6684-2d0f-19eb-4b6d-010b18af3ff7,69d1eade-07c1-9cef-9d41-2a4bbbb7d2a4,500000.0,1.0,closed,2026-01-31T17:14:28Z,2026-01-31T06:24:06Z
154c4e82-03db-c5e2-42fd-f6459dd47a25,752989e3-06d3-1031-13f0-9aa881f76d7f,2cae1100-0c80-fd16-8579-9d61c4d87b1e,600000.0,1.0,closed,2025-06-13T13:37:14Z,2025-06-13T00:19:59Z
e2e88634-e5ea-a1d2-af07-9d5c46b0e875,a642312e-fb3e-6afc-0a56-a3098e6de950,6843befe-0f4c-4a7c-991a-3225a17946c5,2280000.0,0.52,closed,2025-10-11T09:40:45Z,2025-10-11T02:58:54Z
bdcaca6c-02df-7292-e76f-4149dc7a8a4a,a642312e-fb3e-6afc-0a56-a3098e6de950,974a1460-d12c-e0f9-fb24-0dc7ecac31d3,1240000.0,0.31,closed,2025-10-11T05:46:14Z,2025-10-11T14:54:45Z
4a07b100-9bb8-e6b9-b242-7fac18e06394,a642312e-fb3e-6afc-0a56-a3098e6de950,735c05fb-965e-7232-1dcb-c80ce7e7fdfc,480000.0,0.12,closed,2025-10-11T04:40:36Z,2025-10-11T07:22:52Z
b9dada90-ea48-cc9c-3aa7-f349dcb353a4,a4bc0f3a-633a-f6f1-27e7-8ecd4f244ba1,a341033d-8d69-1b43-0a8d-c33b6f4829ee,360000.0,0.24,active,2026-07-18T00:58:09Z,2026-07-18T17:25:56Z
ea3366b7-f8c2-92e0-faa0-c8ee520620dc,a4bc0f3a-633a-f6f1-27e7-8ecd4f244ba1,bea07f0a-a721-f4c5-85d0-ac30867247e8,1050000.0,0.7,active,2026-07-18T15:18:23Z,2026-07-18T06:47:50Z
94ff5ffd-e2fe-0e3a-b081-d5698fa8f831,a4bc0f3a-633a-f6f1-27e7-8ecd4f244ba1,fba26db6-57e3-6ecf-c45c-a20044e2721f,90000.0,0.06,active,2026-07-18T22:26:24Z,2026-07-18T21:01:14Z
805b4c2d-a615-c868-f896-aad3ddf99592,ad6112f2-c057-3b39-4131-ce1cd2c560e4,405783c5-cb27-c84f-5a04-ec24779d04a8,1720000.0,0.86,active,2026-05-06T03:07:59Z,2026-05-06T22:53:10Z
83df7ad7-d6e2-a612-a01d-1dc3219888ad,ad6112f2-c057-3b39-4131-ce1cd2c560e4,40775ca4-0a08-d217-2617-a0c24694e10d,280000.0,0.14,active,2026-05-06T19:47:52Z,2026-05-06T14:29:58Z
8ecf91f5-9377-6876-6d70-62c8bf1a13ee,53678be0-2a49-b959-cd78-42b39cffa3f4,974a1460-d12c-e0f9-fb24-0dc7ecac31d3,1000000.0,1.0,closed,2026-03-06T16:53:25Z,2026-03-06T06:25:42Z
