id,loan_id,loan_reference_id,partner_id,partner_commission_pa,created_at,updated_at
6575adde-746e-bdb2-a166-6ce87b4324d7,d5e48c6d-4037-9900-abdd-49d757043544,EXT-207929,PTR-AGEN,0.05,2026-04-01T01:01:12Z,2026-04-01T12:22:50Z
44a9f0ac-2275-89ab-49d8-5b21161eb5ad,d680d308-3ac4-2060-0665-f0e2a9d1f38e,EXT-617210,PTR-AGEN,0.03,2026-03-23T15:47:54Z,2026-03-23T08:24:45Z
aea0b840-1d98-623c-c7a4-4c27c6b0b24c,57e380a9-8b3c-e16f-8e0c-e2d6d1be4257,EXT-785647,PTR-AGEN,0.03,2026-05-26T18:45:38Z,2026-05-26T18:08:14Z
046169d4-986c-5c33-68c4-7e013bbb3044,9b4f9c40-08a7-e327-41be-fb196538fd22,EXT-598066,PTR-AGEN,0.02,2025-04-13T21:54:27Z,2025-04-13T15:46:39Z
c2d9159f-7b76-43b5-0205-04ef54950c7f,7c109b23-f2b3-1a03-5b15-56122c6a9639,EXT-105571,PTR-AGEN,0.02,2025-10-31T09:07:25Z,2025-10-31T18:59:04Z
41e9d4c2-6667-f8db-d6f2-cbfb7b96233d,d1a2fcb9-bbf8-c5b6-16e3-52e803b3d435,EXT-791599,PTR-AGEN,0.03,2025-05-31T01:24:56Z,2025-05-31T14:42:53Z
14dd8a0f-b30b-c569-5733-bd75ba8e26fd,08f6807a-d0e7-e684-7bd2-59cd50f07913,EXT-214749,PTR-AGEN,0.04,2025-10-28T03:55:01Z,2025-10-28T10:47:08Z
c87fa648-82a4-5fbd-9140-16ef0c5da84c,f0d7609f-4242-b5ba-b57b-dea6e388eb44,EXT-471053,PTR-AGEN,0.04,2025-07-14T18:54:45Z,2025-07-14T10:12:13Z
1e20a067-b470-6d7e-4afe-9ecd920d8d52,73b7ed13-4af6-5c49-b671-b5fe6c6b3dfd,EXT-223589,PTR-AGEN,0.05,2025-11-09T11:49:36Z,2025-11-09T01:38:41Z
85015d1d-df52-fee1-56a3-84540e66f103,4e427f24-bacd-16e5-6ecb-1de3c8b79bc5,EXT-226448,PTR-AGEN,0.03,2026-06-09T17:13:13Z,2026-06-09T03:26:25Z
1d218092-692e-5d69-19f8-c04f31de605d,c29341f3-247a-2dce-8c93-fd9ba21774db,EXT-782972,PTR-FIN,0.02,2025-01-19T07:09:56Z,2025-01-19T12:27:54Z
5bd1a530-ec88-8bae-7011-00f26457c887,f89c78fa-0499-1bb9-5173-b9135ef7a654,EXT-393976,PTR-AGEN,0.02,2025-03-30T14:25:46Z,2025-03-30T17:06:12Z
8ee20d01-dbd4-c724-3992-1490031fee74,9bbe71de-a9d4-789d-48e6-0c222556d96f,EXT-972038,PTR-ECOM,0.04,2025-06-08T01:42:08Z,2025-06-08T15:41:10Z
c2350ec2-4712-2229-7b78-306d7392665a,735e6c9d-447f-efdf-e79b-0fa98e9ce46b,EXT-916721,PTR-AGEN,0.05,2025-07-05T16:53:29Z,2025-07-05T03:00:44Z
7d1193c8-a44c-851a-3cbe-ef545c14fda8,da244340-701e-bfa6-ef26-ece4fd4ab5b4,EXT-863510,PTR-FIN,0.02,2025-01-12T01:38:37Z,2025-01-12T21:17:27Z
d7e01733-46dd-1b30-fde0-99df9b4d4522,c2681fbe-9b87-7484-997b-1a81d0a2a118,EXT-344681,PTR-AGEN,0.04,2025-06-07T05:01:09Z,2025-06-07T18:50:01Z
